Matrix Name,Matrix size,Cholesky Time (ms),Cholesky Memory,Solution Time (ms),Solution Memory,Error,
cfd1.mtx,7.065600e+04,4.035127e+03,1.209425e+03,2.391865e+02,5.390625e-01,2.591514e-13,
cfd2.mtx,1.234400e+05,6.208583e+03,2.382468e+03,5.775792e+02,9.417725e-01,7.933221e-13,
ex15.mtx,᫓,2.944572e+02,3.992081e+00,8.368000e-01,5.239105e-02,8.134283e-07,
shallow_water1.mtx,8.192000e+04,2.496744e+03,3.517717e+02,5.830400e+01,6.250000e-01,3.082172e-16,
