Matrix Name,Matrix size,Cholesky Time (ms),Cholesky Memory,Solution Time (ms),Solution Memory,Error
cfd1.mtx,7.065600e+04,2.839614e+03,1.209425e+03,1.496820e+02,5.390625e-01,2.591514e-13
cfd2.mtx,1.234400e+05,4.776687e+03,2.382468e+03,2.786020e+02,9.417725e-01,7.933221e-13
ex15.mtx,᫓,1.814080e+02,3.992081e+00,6.690000e-01,5.239105e-02,8.134283e-07
shallow_water1.mtx,8.192000e+04,2.382754e+03,3.517717e+02,4.376400e+01,6.250000e-01,3.082172e-16
