Matrix Name,Matrix size,Cholesky Time (ms),Cholesky Memory,Solution Time (ms),Solution Memory,Error
apache2.mtx,4817870,3.855828e+03,1.963398e+03,2.250599e+02,1.878438e+03,4.065813107788464e-11
cfd1.mtx,1828364,7.069566e+02,2.226797e+03,3.001160e+01,4.898281e+02,6.194271786067361e-14
cfd2.mtx,3087898,1.763650e+03,1.244535e+03,6.255230e+01,8.233242e+02,4.063818771885226e-13
ex15.mtx,98671,1.074100e+01,7.893320e+02,1.123000e+00,8.795703e+01,5.861734333198708e-07
G3_circuit.mtx,7660826,6.760506e+03,2.319484e+03,3.442243e+02,2.195117e+03,3.2659429633588617e-12
parabolic_fem.mtx,3674625,1.541548e+03,2.561988e+03,9.730890e+01,5.984258e+02,1.0382579007125665e-12
shallow_water1.mtx,327680,1.115178e+02,5.320508e+02,1.117410e+01,1.457734e+02,2.339067325408772e-16
